,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,food_truck ,pale_ale ,tap_room ,dog_friendli ,go_back ,tripl_c ,room_clean ,live_music ,park_lot ,fish_taco ,breweri_charlott ,beer_great ,noda_brew ,craft_beer ,first_time ,higher_ground ,favorit_breweri ,hop_drop ,great_beer ,great_addit ,can_wait ,tast_room ,can_find ,outdoor_seat ,first_impress ,realli_good ,good_thing ,oliv_garden ,pretti_good ,even_though
1,mac_chees ,grill_chees ,sweet_potato ,hyatt_place ,beer_select ,great_food ,go_back ,reason_price ,great_beer ,corn_hole ,la_unica ,food_great ,fri_green ,green_tomato ,medium_rare ,blue_chees ,3_star ,ve_better ,food_reason ,pretti_good ,look_forward ,will_definit ,good_food ,come_back ,will_never ,first_time ,park_lot ,pimento_chees ,can_say ,great_place
2,fri_chicken ,realli_good ,picnic_tabl ,pretti_good ,good_food ,go_back ,come_back ,fish_taco ,food_truck ,brown_ale ,let_know ,realli_enjoy ,love_place ,collard_green ,fri_pickl ,next_time ,one_best ,chicken_taco ,first_time ,everi_time ,stay_hyatt ,absolut_love ,long_time ,pretti_much ,pretti_decent ,great_food ,call_order ,end_get ,look_forward ,fresh_veggi
3,go_back ,crepe_cellar ,pretti_good ,n_chees ,mac_n ,come_back ,pimento_chees ,tast_like ,mac_chees ,next_time ,want_tri ,ve_ever ,glass_wine ,love_place ,coffe_shop ,realli_good ,make_sure ,crab_cake ,hot_dog ,nice_peopl ,wal_mart ,first_time ,great_place ,food_good ,fri_chicken ,goat_chees ,one_best ,will_never ,front_desk ,fish_taco
4,front_desk ,free_rang ,custom_servic ,fri_chicken ,go_back ,beer_select ,5_star ,hyatt_hous ,friendli_staff ,craft_beer ,ve_ever ,can_get ,pure_intent ,pretti_good ,smelli_cat ,po_boy ,great_place ,tri_get ,final_got ,next_time ,larg_portion ,come_back ,friend_order ,littl_bit ,never_stay ,coffe_shop ,haven_tri ,can_wait ,grab_beer ,salt_caramel
5,go_back ,pull_pork ,fri_chicken ,realli_like ,realli_good ,come_back ,first_time ,saturday_morn ,watch_game ,drive_thru ,mac_chees ,will_back ,everi_day ,credit_card ,came_back ,hush_puppi ,4_star ,great_food ,will_definit ,highli_recommend ,didn_see ,staff_friendli ,definit_go ,crab_cake ,reason_price ,pretti_good ,next_time ,realli_enjoy ,friendli_staff ,give_tri
6,great_place ,pork_belli ,food_truck ,fish_taco ,park_lot ,go_back ,realli_good ,come_back ,de_mayo ,first_time ,can_get ,custom_servic ,burger_compani ,pretti_good ,great_atmospher ,laid_back ,pale_ale ,highli_recommend ,belli_taco ,cinco_de ,even_though ,just_open ,daili_press ,next_time ,south_end ,coupl_time ,outdoor_seat ,good_beer ,coffe_drink ,much_food
7,fish_taco ,food_good ,ve_ever ,beer_select ,divin_pie ,realli_good ,look_like ,great_place ,come_back ,go_back ,great_food ,fast_food ,new_place ,next_day ,don_expect ,hous_made ,good_select ,great_servic ,chicken_pot ,park_outsid ,small_batch ,pot_pie ,steak_hous ,peopl_watch ,sweet_potato ,next_time ,4_star ,saturday_night ,sport_bar ,great_peopl
8,go_back ,fri_chicken ,ice_cream ,come_back ,park_lot ,first_time ,ten_minut ,beer_select ,tast_like ,next_time ,food_truck ,realli_good ,will_definit ,south_end ,sweet_potato ,grill_chees ,love_place ,conveni_locat ,last_night ,jalapeno_pale ,custom_servic ,give_tri ,bleu_barn ,last_time ,good_food ,pleasantli_surpris ,bbq_taco ,barn_bistro ,look_like ,don_think
9,food_truck ,truck_friday ,la_quinta ,tasti_yo ,smelli_cat ,great_beer ,great_place ,place_stay ,can_wait ,farmer_market ,love_love ,love_place ,give_5 ,super_fresh ,pretti_much ,go_back ,5_star ,go_wrong ,super_nice ,worst_experi ,everi_time ,realli_great ,way_get ,frozen_yogurt ,ve_ever ,ve_seen ,nice_staff ,can_bring ,allow_dog ,one_favorit
