,0,1,2,3,4,5,6,7,8,9
0,crepe ,good ,cellar ,time ,order ,dessert ,french ,place ,just ,go
1,market ,farmer ,can ,open ,local ,vendor ,bar ,get ,saturday ,thing
2,yo ,yogurt ,top ,tasti ,flavor ,coffe ,get ,frozen ,one ,cat
3,coffe ,check ,place ,charlott ,decor ,time ,realli ,like ,neighborhood ,can
4,sweet ,even ,love ,tast ,cornbread ,flavor ,attent ,back ,head ,day
5,taco ,fish ,cabo ,salsa ,5 ,good ,bean ,rice ,order ,like
6,good ,place ,food ,great ,like ,go ,just ,burger ,order ,get
7,place ,chocol ,ameli ,love ,just ,coffe ,like ,pastri ,tri ,good
8,ve ,tea ,time ,chocol ,without ,order ,set ,queso ,spice ,pair
9,chicken ,place ,fri ,good ,go ,like ,taco ,charlott ,beer ,just
