,0,1,2,3,4,5,6,7,8,9
0,n_chees ,dim_sum ,mac_n ,pretti_good ,banh_mi ,next_door ,ve_found ,tortilla_chip ,portion_size ,servic_alway
1,b_b ,dim_sum ,realli_good ,lang_van ,go_back ,ice_cream ,even_though ,sweet_tea ,look_like ,good_pho
2,dim_sum ,banh_mi ,food_great ,make_sure ,great_place ,good_food ,summer_roll ,much_better ,great_servic ,servic_good
3,mash_potato ,lang_van ,ice_cream ,spici_chicken ,4_5 ,fast_food ,5_star ,fri_chicken ,music_factori ,park_lot
4,dim_sum ,fri_chicken ,servic_great ,mash_potato ,7_95 ,pull_pork ,groceri_store ,great_place ,collard_green ,good_fri
5,mac_chees ,ice_cream ,go_back ,good_place ,fri_okra ,d_love ,realli_good ,mexican_food ,fri_tortilla ,n_chees
6,food_good ,come_back ,go_back ,bowl_pho ,realli_good ,great_food ,servic_great ,reason_price ,next_time ,lunch_special
7,onion_ring ,can_get ,car_hop ,sweet_potato ,steak_hous ,old_school ,sweet_tea ,look_like ,can_tell ,pretti_good
8,wet_willi ,hash_brown ,staff_friendli ,go_back ,friendli_help ,food_good ,garlic_don ,realli_good ,look_like ,sweet_tea
9,onion_ring ,fri_chicken ,food_good ,great_food ,beef_bottl ,go_back ,lang_van ,ve_ever ,old_school ,wood_panel
