,0,1,2,3,4,5,6,7,8,9
0,crepe ,good ,time ,place ,order ,go ,just ,dessert ,great ,cellar
1,market ,farmer ,can ,open ,local ,thing ,food ,bar ,get ,vendor
2,yo ,yogurt ,get ,tasti ,top ,coffe ,flavor ,time ,one ,can
3,place ,coffe ,check ,time ,charlott ,decor ,like ,realli ,great ,can
4,sweet ,even ,night ,place ,tri ,sandwich ,nice ,love ,star ,servic
5,taco ,fish ,order ,5 ,good ,crepe ,salsa ,rice ,like ,great
6,good ,place ,food ,like ,great ,just ,burger ,go ,order ,realli
7,just ,ameli ,place ,love ,chocol ,like ,tri ,dessert ,good ,coffe
8,ve ,time ,tea ,chocol ,got ,without ,set ,order ,queso ,us
9,chicken ,place ,fri ,good ,like ,go ,taco ,beer ,just ,charlott
