,0,1,2,3,4,5,6,7,8,9
0,fri_chicken ,onion_ring ,grill_chicken ,just_right ,soul_food ,hash_brown ,staff_friendli ,tzatziki_sauc ,fast_food ,feel_like
1,lettuc_tomato ,dim_sum ,realli_good ,fast_wok ,just_okay ,park_lot ,call_ahead ,go_just ,can_get ,sugar_creek
2,custom_servic ,go_back ,fast_food ,hush_puppi ,last_time ,realli_good ,compar_food ,15_minut ,mac_chees ,come_back
3,front_desk ,go_back ,tryon_hous ,place_stay ,custom_servic ,fri_chicken ,even_though ,next_time ,4_star ,papa_john
4,drive_thru ,chicken_grill ,flat_screen ,wait_drive ,go_back ,lot_place ,groceri_shop ,staff_friendli ,pretti_good ,friendli_help
5,go_back ,mac_chees ,pretti_good ,servic_great ,great_food ,realli_good ,come_back ,just_like ,food_great ,food_good
6,food_good ,church_chicken ,go_back ,can_get ,food_great ,groceri_store ,five_minut ,sure_enough ,custom_servic ,first_time
7,hotel_com ,front_desk ,food_lion ,book_hotel ,re_look ,go_back ,close_airport ,money_back ,park_lot ,hole_wall
8,go_back ,onion_ring ,food_alway ,stay_hotel ,can_get ,good_servic ,food_great ,great_food ,credit_card ,groceri_store
9,15_minut ,look_like ,will_definit ,love_place ,egg_roll ,well_stock ,park_lot ,go_back ,next_time ,5_star
