,0,1,2,3,4,5,6,7,8,9
0,beer ,great ,place ,can ,bar ,like ,good ,just ,select ,get
1,us ,food ,tabl ,wait ,night ,order ,came ,restaur ,drink ,server
2,one ,said ,get ,call ,servic ,place ,time ,will ,manag ,never
3,food ,place ,great ,good ,go ,get ,servic ,love ,best ,price
4,order ,food ,go ,place ,time ,just ,get ,like ,back ,burger
5,breakfast ,diner ,egg ,dim ,sum ,coffe ,one ,hous ,matti ,bacon
6,pho ,roll ,vietnames ,fresh ,store ,tea ,meat ,rice ,shop ,asian
7,hotel ,room ,stay ,taco ,clean ,bed ,airport ,salsa ,nice ,also
8,chicken ,fri ,good ,chees ,sauc ,order ,bbq ,side ,like ,tast
9,deliveri ,korean ,pie ,mr ,5 ,autom ,driver ,letti ,pro ,ac
