,0,1,2,3,4,5,6,7,8,9
0,n_chees ,mac_n ,next_door ,pretti_good ,portion_size ,tortilla_chip ,ve_found ,banh_mi ,dim_sum ,food_great
1,b_b ,ice_cream ,go_back ,even_though ,realli_good ,lang_van ,dim_sum ,just_like ,realli_nice ,love_place
2,banh_mi ,dim_sum ,food_great ,make_sure ,great_place ,good_food ,servic_good ,come_back ,great_servic ,much_better
3,mash_potato ,ice_cream ,lang_van ,fri_chicken ,5_star ,4_5 ,fast_food ,spici_chicken ,food_great ,go_back
4,dim_sum ,fri_chicken ,servic_great ,mash_potato ,pull_pork ,7_95 ,great_place ,groceri_store ,chicken_feet ,place_go
5,mac_chees ,ice_cream ,go_back ,mexican_food ,good_place ,fri_okra ,realli_good ,d_love ,fri_tortilla ,wait_staff
6,food_good ,go_back ,bowl_pho ,come_back ,dac_biet ,5_star ,lunch_special ,servic_great ,reason_price ,time_m
7,can_get ,onion_ring ,sweet_potato ,car_hop ,sweet_tea ,look_like ,diner_food ,strip_mall ,pretti_good ,can_tell
8,hash_brown ,wet_willi ,food_good ,go_back ,staff_friendli ,garlic_don ,friendli_help ,sweet_tea ,alway_good ,food_alway
9,onion_ring ,fri_chicken ,great_food ,beef_bottl ,food_good ,old_school ,go_back ,lang_van ,ve_ever ,wood_panel
