,0,1,2,3,4,5,6,7,8,9
0,owner_great ,go_back ,first_time ,park_lot ,next_time ,food_good ,custom_servic ,definit_back ,long_time ,feel_like
1,great_food ,prepar_food ,food_great ,re_look ,food_servic ,place_like ,go_back ,park_lot ,hard_find ,take_order
2,quick_trip ,good_servic ,food_good ,don_know ,servic_good ,sweet_tea ,good_good ,staff_alway ,feel_place ,good_don
3,alway_great ,us_explain ,place_shot ,came_greet ,tasti_definit ,wrote_review ,hope_owner ,good_sweet ,prepar_fresh ,food_kitchen
4,servic_great ,come_back ,food_delici ,definit_come ,first_time ,delici_food ,love_new ,make_feel ,want_tri ,feel_like
5,great_place ,staff_great ,come_back ,speak_spanish ,great_drink ,food_alway ,much_food ,write_home ,noth_write ,food_serv
6,go_back ,can_wait ,hush_puppi ,much_better ,music_factori ,great_food ,wait_go ,mexican_restaur ,also_great ,across_street
7,ny_pizza ,rice_bean ,got_curri ,just_open ,jamaican_cuisin ,soul_food ,mac_chees ,good_food ,new_locat ,got_food
8,green_tea ,pretti_good ,m_fan ,alway_friendli ,good_m ,order_larg ,comedi_zone ,4_awesom ,huge_select ,doesn_scare
9,alway_get ,come_back ,will_alway ,place_compar ,got_new ,move_new ,nice_noth ,10x_better ,flavor_frozen ,place_10x
